Year,Inflation
2010,10.1
2011,11.9
2012,9.7
2013,7.4
2014,8.6
2015,4.5
2016,3.8
2017,4.1
2018,5.1
2019,10.6
2020,9.7
2021,8.9
2022,20.1
2023,29.2
